id,filename,unit,from_time,to_time
2001,111111,ju0r'i4j,0.0,0.37546485260770973
2002,111111,tr'i0fa4na4f,0.37546485260770973,1.107437641723356
2003,222222,a1bm'e0n,0.0,0.6035374149659863
2004,333333,v,0.0,0.056643990929705214
2005,333333,y1ju0l'i4,0.056643990929705214,0.5772335600907029
2006,333333,ma0c,0.5772335600907029,0.9689795918367347
2007,333333,dm'i0tr'i4i4va4,0.9689795918367347,1.5629931972789115
2008,333333,ks'e0n'e4e4,1.5629931972789115,2.0114739229024945
2009,333333,f'o0dy4ry4vna4,2.0114739229024945,2.592108843537415
2010,333333,t'i1zhy1lo0,2.592108843537415,3.034829931972789
2011,333333,zy1ba1l'e0la4,3.034829931972789,3.6648526077097507
2012,333333,,3.6648526077097507,3.9783673469387755
2013,333333,i1,3.9783673469387755,4.135374149659864
2014,333333,i1jo0,4.135374149659864,4.362721088435374
2015,333333,o1tv'i1zl'i0,4.362721088435374,4.801179138321995
2016,333333,v,4.801179138321995,4.865306122448979
2017,333333,bo0tk'i4nsku4u4,4.865306122448979,5.715419501133787
2018,333333,,5.715419501133787,5.844172335600907
2019,333333,gd'e1,5.844172335600907,6.0436281179138325
2020,333333,a1na0,6.0436281179138325,6.226666666666667
2021,333333,pry1l'i1zha0la4,6.226666666666667,6.792879818594105
2022,333333,dv'i1na0cy4d',6.792879818594105,7.455147392290249
2023,333333,d'n'e0i4,7.455147392290249,7.864444444444445
2024,333333,,7.864444444444445,8.105759637188209
2025,333333,s,8.105759637188209,8.200589569160998
2026,333333,po1da1zr'e0n'e4e4m,8.200589569160998,8.903945578231292
2027,333333,na1,8.903945578231292,9.047210884353742
2028,333333,sa0me4e4,9.047210884353742,9.44095238095238
2029,333333,hu0chshy4,9.44095238095238,10.03061224489796
2030,444444,f,0.0,0.03800453514739229
2031,444444,s'i1n't'i1br'e0,0.03800453514739229,0.49578231292517005
2032,444444,z'd'e0lo4l'i4,0.49578231292517005,0.9055328798185941
2033,444444,a1p'i1ra0cu4u4,0.9055328798185941,1.6256235827664398
2034,444444,,1.6256235827664398,1.7317460317460318
2035,444444,hu0ch_she4e4,1.7317460317460318,2.162267573696145
2036,444444,py1tv'e1rd'i0ly4s,2.162267573696145,2.9272108843537414
2037,444444,,2.9272108843537414,3.2924716553287983
2038,444444,no1,3.2924716553287983,3.476780045351474
2039,444444,ks'e0n'e4e4,3.476780045351474,3.9349206349206347
2040,444444,f'o0dy4re4vna4,3.9349206349206347,4.474829931972789
2041,444444,sci1ta0fshy4y4,4.474829931972789,5.043038548752834
2042,444444,shtu1,5.043038548752834,5.218730158730159
2043,444444,u1,5.218730158730159,5.272607709750567
2044,444444,n'i1jo0,5.272607709750567,5.516371882086168
2045,444444,ja0zv'i4ne4e4,5.516371882086168,6.173650793650793
2046,444444,ba1l'e0z'n',6.173650793650793,6.70984126984127
2047,444444,,6.70984126984127,6.982721088435374
2048,444444,pa1chu0stu4o4o4la4,6.982721088435374,7.711927437641723
2049,444444,u1lu1ch_she0n'e4e4,7.711927437641723,8.51437641723356
2050,444444,,8.51437641723356,8.845396825396826
2051,444444,sta0lo4,8.845396825396826,9.163854875283446
2052,444444,fsko0r'i4,9.163854875283446,9.520544217687075
2053,444444,ha1d'i0t',9.520544217687075,10.043628117913832
2054,444444,,10.043628117913832,10.26344671201814
2055,444444,i1,10.26344671201814,10.415691609977324
2056,444444,v,10.415691609977324,10.450566893424035
2057,444444,a1kt'i1br'e0,10.450566893424035,10.94095238095238
2058,444444,y1jo0,10.94095238095238,11.231746031746031
2059,444444,o1tpra0v'y4l'i4,11.231746031746031,11.722312925170067
2060,444444,da1mo0j,11.722312925170067,12.212834467120182
2061,444444,,12.212834467120182,12.483492063492063
2062,444444,po1pa1ln'e0fshu4u4,12.483492063492063,13.392517006802722
2063,444444,i1,13.392517006802722,13.61687074829932
2064,444444,tv'o0rdy4,13.61687074829932,13.993968253968253
2065,444444,u1v'e0r'i4nu4u4,13.993968253968253,14.58734693877551
2066,444444,f,14.58734693877551,14.660589569160997
2067,444444,to0m,14.660589569160997,14.915464852607709
2068,444444,shto1,14.915464852607709,15.13891156462585
2069,444444,d'e0ly4,15.13891156462585,15.511700680272108
2070,444444,y1d'o0t,15.511700680272108,15.857732426303855
2071,444444,na2,15.857732426303855,15.943990929705215
2072,444444,pa1pra0fku4,15.943990929705215,16.70530612244898
2073,555555,vo0t,0.0,0.23678004535147393
2074,555555,i0m'i4na4,0.23678004535147393,0.6537868480725624
2075,555555,ta1gda0,0.6537868480725624,1.1765079365079365
2076,555555,ka1gda0,1.1765079365079365,1.4878004535147393
2077,555555,ks'e0n'e4e4,1.4878004535147393,1.949297052154195
2078,555555,f'o0de4ry4vna4,1.949297052154195,2.5248072562358277
2079,555555,v'e1rnu0ly4s',2.5248072562358277,3.0313832199546487
2080,555555,i1z,3.0313832199546487,3.1561451247165535
2081,555555,ba1l'n'i0cy4,3.1561451247165535,3.8770068027210884
2082,555555,,3.8770068027210884,4.212426303854875
2083,555555,zhy1na0,4.212426303854875,4.548616780045352
2084,555555,dm'i0tr'i4i4vo4,4.548616780045352,5.133378684807257
2085,555555,za1t'e0i4la4,5.133378684807257,5.664671201814059
2086,555555,a1b'm'e0n,5.664671201814059,6.354467120181406
2087,555555,,6.354467120181406,6.685941043083901
2088,555555,r'i1shy0ly4,6.685941043083901,7.115192743764172
2089,555555,sro0chna4,7.115192743764172,7.637142857142857
