filename,all_values_f0,from,to
111111,60.74380165289256,0.009795918367346938,0.026258503401360545
111111,76.82926829268293,0.026258503401360545,0.03927437641723356
111111,78.46975088967972,0.03927437641723356,0.05201814058956916
111111,79.03225806451613,0.05201814058956916,0.06467120181405896
111111,77.64084507042253,0.06467120181405896,0.07755102040816327
111111,78.46975088967976,0.07755102040816327,0.09029478458049886
111111,83.20754716981128,0.09029478458049886,0.10231292517006803
111111,85.46511627906979,0.10231292517006803,0.11401360544217687
111111,95.4545454545455,0.11401360544217687,0.12448979591836734
111111,102.08333333333327,0.12448979591836734,0.13428571428571429
111111,107.56097560975603,0.13428571428571429,0.1435827664399093
111111,113.6597938144329,0.1435827664399093,0.1523809523809524
111111,121.15384615384642,0.1523809523809524,0.16063492063492063
111111,118.5483870967742,0.16063492063492063,0.1690702947845805
111111,122.49999999999979,0.1690702947845805,0.17723356009070296
111111,126.0,0.17723356009070296,0.1851700680272109
111111,126.72413793103445,0.1851700680272109,0.19306122448979593
111111,128.19767441860498,0.19306122448979593,0.20086167800453514
111111,130.47337278106482,0.20086167800453514,0.20852607709750567
111111,131.25000000000017,0.20852607709750567,0.21614512471655328
111111,126.0,0.21614512471655328,0.22408163265306122
111111,111.3636363636364,0.22408163265306122,0.2330612244897959
111111,,0.2330612244897959,0.2565079365079365
111111,125.28409090909095,0.2565079365079365,0.26448979591836735
111111,134.45121951219562,0.26448979591836735,0.27192743764172334
111111,134.45121951219463,0.27192743764172334,0.27936507936507937
111111,132.8313253012054,0.27936507936507937,0.28689342403628115
111111,130.47337278106437,0.28689342403628115,0.2945578231292517
111111,130.4733727810653,0.2945578231292517,0.3022222222222222
111111,128.19767441860452,0.3022222222222222,0.31002267573696146
111111,127.45664739884431,0.31002267573696146,0.31786848072562357
111111,126.72413793103445,0.31786848072562357,0.3257596371882086
111111,125.28409090909095,0.3257596371882086,0.33374149659863944
111111,123.87640449438214,0.33374149659863944,0.3418140589569161
111111,122.49999999999936,0.3418140589569161,0.34997732426303857
111111,119.83695652173947,0.34997732426303857,0.3583219954648526
111111,116.66666666666679,0.3583219954648526,0.36689342403628117
111111,116.66666666666679,0.36689342403628117,0.37546485260770973
111111,,0.37546485260770973,0.49691609977324264
111111,165.78947368421143,0.49691609977324264,0.5029478458049886
111111,105.50239234449703,0.5029478458049886,0.5124263038548753
111111,97.56637168141664,0.5124263038548753,0.5226757369614512
111111,,0.5226757369614512,0.5349206349206349
111111,76.29757785467152,0.5349206349206349,0.5480272108843537
111111,81.66666666666643,0.5480272108843537,0.5602721088435374
111111,83.52272727272731,0.5602721088435374,0.5722448979591837
111111,78.1914893617021,0.5722448979591837,0.5850340136054422
111111,73.01324503311223,0.5850340136054422,0.5987301587301588
111111,69.5583596214511,0.5987301587301588,0.6131065759637189
111111,66.61631419939617,0.6131065759637189,0.6281179138321995
111111,56.10687022900754,0.6281179138321995,0.6459410430839002
111111,,0.6459410430839002,0.7388662131519275
111111,76.82926829268281,0.7388662131519275,0.7518820861678005
111111,76.03448275862078,0.7518820861678005,0.7650340136054422
111111,70.673076923077,0.7650340136054422,0.7791836734693878
111111,66.4156626506027,0.7791836734693878,0.7942403628117913
111111,63.7283236994217,0.7942403628117913,0.8099319727891157
111111,61.93820224719107,0.8099319727891157,0.8260770975056689
111111,58.17941952506593,0.8260770975056689,0.843265306122449
111111,57.42187499999992,0.843265306122449,0.8606802721088436
111111,53.38983050847464,0.8606802721088436,0.8794104308390023
111111,51.39860139860156,0.8794104308390023,0.8988662131519274
111111,,0.8988662131519274,0.9199546485260771
222222,85.13513513513513,0.048480725623582764,0.06022675736961451
222222,88.91129032258068,0.06022675736961451,0.07147392290249432
222222,93.03797468354423,0.07147392290249432,0.08222222222222222
222222,95.86956521739131,0.08222222222222222,0.0926530612244898
222222,98.00000000000003,0.0926530612244898,0.10285714285714286
222222,99.32432432432428,0.10285714285714286,0.11292517006802721
222222,101.14678899082567,0.11292517006802721,0.12281179138321996
222222,90.74074074074079,0.12281179138321996,0.13383219954648526
222222,96.71052631578944,0.13383219954648526,0.14417233560090703
222222,95.86956521739131,0.14417233560090703,0.1546031746031746
222222,99.77375565610866,0.1546031746031746,0.16462585034013605
222222,96.28820960698688,0.16462585034013605,0.17501133786848072
222222,95.86956521739131,0.17501133786848072,0.1854421768707483
222222,95.4545454545455,0.1854421768707483,0.19591836734693877
222222,86.13281249999989,0.19591836734693877,0.20752834467120182
222222,81.97026022304844,0.20752834467120182,0.21972789115646257
222222,80.18181818181803,0.21972789115646257,0.23219954648526078
222222,79.03225806451623,0.23219954648526078,0.24485260770975056
222222,81.36531365313668,0.24485260770975056,0.2571428571428571
222222,80.76923076923076,0.2571428571428571,0.2695238095238095
222222,75.51369863013679,0.2695238095238095,0.28276643990929706
222222,71.82410423452784,0.28276643990929706,0.2966893424036281
222222,67.43119266055032,0.2966893424036281,0.31151927437641724
222222,60.91160220994487,0.31151927437641724,0.3279365079365079
222222,54.579207920791994,0.3279365079365079,0.34625850340136055
222222,,0.34625850340136055,0.36662131519274377
222222,,0.36662131519274377,0.38807256235827664
222222,,0.38807256235827664,0.40956916099773244
222222,,0.40956916099773244,0.4306575963718821
222222,,0.4306575963718821,0.4509750566893424
222222,,0.4509750566893424,0.47342403628117913
222222,50.9237875288684,0.47342403628117913,0.4930612244897959
222222,,0.4930612244897959,0.5137414965986394
222222,,0.5137414965986394,0.6035374149659863
333333,77.64084507042253,0.009795918367346938,0.022675736961451247
333333,88.19999999999997,0.022675736961451247,0.034013605442176874
