id,filename,unit,from_time,to_time
4793,4999995,ta1vo0,0.32,0.7643083900226757
4794,4999995,,0.7643083900226757,0.8195918367346938
4795,4999995,mo0zhna4,0.8195918367346938,1.2102947845804988
4796,4999995,l'i4,1.2102947845804988,1.3114739229024943
4797,4999995,s'i1rd'i0ca4,1.3114739229024943,1.826893424036281
4798,4999995,na2,1.826893424036281,1.9584126984126984
4799,4999995,chi1la1v'e0ka4,1.9584126984126984,2.6863038548752836
4800,4999995,,2.6863038548752836,2.9091609977324264
4801,4999995,l'i1sho0na4va4,2.9091609977324264,3.508843537414966
4802,4999995,k,3.508843537414966,3.5786848072562356
4803,4999995,pr'i1m'e0ru4,3.5786848072562356,4.162630385487528
4804,4999995,,4.162630385487528,4.3769614512471655
4805,4999995,mu1zy1ka0l'na4va4,4.3769614512471655,5.080907029478458
4806,4999995,slu0ha4,5.080907029478458,5.606077097505669
4807,5111106,l'e0nu4,0.0,0.33052154195011335
4808,5111106,fs'i1gda0,0.33052154195011335,0.677641723356009
4809,5111106,a1tl'i1cha0la4,0.677641723356009,1.2775963718820862
4810,5111106,n'e0ka4ta4ra4j a4,1.2775963718820862,1.9261678004535148
4811,5111106,du1she0vna4j a4,1.9261678004535148,2.885260770975057
4812,5111106,,2.885260770975057,3.3446258503401363
4813,5111106,n'e0t,3.3446258503401363,3.6298866213151926
4814,5111106,n'i1,3.6298866213151926,3.740861678004535
4815,5111106,glu1ha1ta0,3.740861678004535,4.560544217687075
4816,5111106,,4.560544217687075,4.794557823129252
4817,5111106,chi1r'i1scu0r,4.794557823129252,5.292199546485261
4818,5111106,s'i0l'na4,5.292199546485261,5.767619047619047
4819,5111106,,5.767619047619047,6.389206349206349
4820,5111106,n'e0ka4ta4ra4 ja4,6.389206349206349,6.922040816326531
4821,5111106,du1she0vna4 ja4,6.922040816326531,7.5081179138322
4822,5111106,n'i1to0chna4s't',7.5081179138322,8.382585034013605
4823,5111106,,8.382585034013605,8.81047619047619
