id,filename,unit,from_time,to_time
101,111111,юрий,0.0,0.37546485260770973
102,111111,трифонов,0.37546485260770973,1.107437641723356
103,222222,обмен,0.0,0.6035374149659863
104,333333,в,0.0,0.056643990929705214
105,333333,июле,0.056643990929705214,0.5772335600907029
106,333333,мать,0.5772335600907029,0.9689795918367347
107,333333,дмитриева,0.9689795918367347,1.5629931972789115
108,333333,ксения,1.5629931972789115,2.0114739229024945
109,333333,федоровна,2.0114739229024945,2.592108843537415
110,333333,тяжело,2.592108843537415,3.034829931972789
111,333333,заболела,3.034829931972789,3.6648526077097507
112,333333,,3.6648526077097507,3.9783673469387755
113,333333,и,3.9783673469387755,4.135374149659864
114,333333,ее,4.135374149659864,4.362721088435374
115,333333,отвезли,4.362721088435374,4.801179138321995
116,333333,в,4.801179138321995,4.865306122448979
117,333333,боткинскую,4.865306122448979,5.715419501133787
118,333333,,5.715419501133787,5.844172335600907
119,333333,где,5.844172335600907,6.0436281179138325
120,333333,она,6.0436281179138325,6.226666666666667
121,333333,пролежала,6.226666666666667,6.792879818594105
122,333333,двенадцать,6.792879818594105,7.455147392290249
123,333333,дней,7.455147392290249,7.864444444444445
124,333333,,7.864444444444445,8.105759637188209
125,333333,с,8.105759637188209,8.200589569160998
126,333333,подозрением,8.200589569160998,8.903945578231292
127,333333,на,8.903945578231292,9.047210884353742
128,333333,самое,9.047210884353742,9.44095238095238
129,333333,худшее,9.44095238095238,10.03061224489796
130,444444,в,0.0,0.03800453514739229
131,444444,сентябре,0.03800453514739229,0.49578231292517005
132,444444,сделали,0.49578231292517005,0.9055328798185941
133,444444,операцию,0.9055328798185941,1.6256235827664398
134,444444,,1.6256235827664398,1.7317460317460318
135,444444,худшее,1.7317460317460318,2.162267573696145
136,444444,подтвердилось,2.162267573696145,2.9272108843537414
137,444444,,2.9272108843537414,3.2924716553287983
138,444444,но,3.2924716553287983,3.476780045351474
139,444444,ксения,3.476780045351474,3.9349206349206347
140,444444,федоровна,3.9349206349206347,4.474829931972789
141,444444,считавшая,4.474829931972789,5.043038548752834
142,444444,что,5.043038548752834,5.218730158730159
143,444444,у,5.218730158730159,5.272607709750567
144,444444,нее,5.272607709750567,5.516371882086168
145,444444,язвенная,5.516371882086168,6.173650793650793
146,444444,болезнь,6.173650793650793,6.70984126984127
147,444444,,6.70984126984127,6.982721088435374
148,444444,почувствовала,6.982721088435374,7.711927437641723
149,444444,улучшение,7.711927437641723,8.51437641723356
150,444444,,8.51437641723356,8.845396825396826
151,444444,стала,8.845396825396826,9.163854875283446
152,444444,вскоре,9.163854875283446,9.520544217687075
153,444444,ходить,9.520544217687075,10.043628117913832
154,444444,,10.043628117913832,10.26344671201814
155,444444,и,10.26344671201814,10.415691609977324
156,444444,в,10.415691609977324,10.450566893424035
157,444444,октябре,10.450566893424035,10.94095238095238
158,444444,ее,10.94095238095238,11.231746031746031
159,444444,отправили,11.231746031746031,11.722312925170067
160,444444,домой,11.722312925170067,12.212834467120182
161,444444,,12.212834467120182,12.483492063492063
162,444444,пополневшую,12.483492063492063,13.392517006802722
163,444444,и,13.392517006802722,13.61687074829932
164,444444,твердо,13.61687074829932,13.993968253968253
165,444444,уверенную,13.993968253968253,14.58734693877551
166,444444,в,14.58734693877551,14.660589569160997
167,444444,том,14.660589569160997,14.915464852607709
168,444444,что,14.915464852607709,15.13891156462585
169,444444,дело,15.13891156462585,15.511700680272108
170,444444,идет,15.511700680272108,15.857732426303855
171,444444,на,15.857732426303855,15.943990929705215
172,444444,поправку,15.943990929705215,16.70530612244898
173,555555,вот,0.0,0.23678004535147393
174,555555,именно,0.23678004535147393,0.6537868480725624
175,555555,тогда,0.6537868480725624,1.1765079365079365
176,555555,когда,1.1765079365079365,1.4878004535147393
177,555555,ксения,1.4878004535147393,1.949297052154195
178,555555,федоровна,1.949297052154195,2.5248072562358277
179,555555,вернулась,2.5248072562358277,3.0313832199546487
180,555555,из,3.0313832199546487,3.1561451247165535
181,555555,больницы,3.1561451247165535,3.8770068027210884
182,555555,,3.8770068027210884,4.212426303854875
183,555555,жена,4.212426303854875,4.548616780045352
184,555555,дмитриева,4.548616780045352,5.133378684807257
185,555555,затеяла,5.133378684807257,5.664671201814059
186,555555,обмен,5.664671201814059,6.354467120181406
187,555555,,6.354467120181406,6.685941043083901
188,555555,решила,6.685941043083901,7.115192743764172
189,555555,срочно,7.115192743764172,7.637142857142857
190,555555,съезжаться,7.637142857142857,8.275147392290249
191,555555,со,8.275147392290249,8.437596371882087
192,555555,свекровью,8.437596371882087,9.101451247165533
193,555555,,9.101451247165533,9.305034013605443
194,555555,жившей,9.305034013605443,9.779455782312926
195,555555,одиноко,9.779455782312926,10.339818594104308
196,555555,в,10.339818594104308,10.413650793650794
197,555555,хорошей,10.413650793650794,11.023628117913832
198,555555,двадцатиметровой,11.023628117913832,11.969433106575964
199,555555,комнате,11.969433106575964,12.52172335600907
200,555555,на,12.52172335600907,12.7021768707483
201,555555,профсоюзной,12.7021768707483,13.44095238095238
202,555555,улице,13.44095238095238,13.941133786848072
203,666666,разговоры,0.0,0.5134693877551021
204,666666,о,0.5134693877551021,0.6015873015873016
205,666666,том,0.6015873015873016,0.8090249433106576
206,666666,чтобы,0.8090249433106576,1.0786848072562358
207,666666,соединиться,1.0786848072562358,1.767891156462585
208,666666,с,1.767891156462585,1.854875283446712
209,666666,матерью,1.854875283446712,2.399909297052154
210,666666,дмитриев,2.399909297052154,3.0416780045351475
211,666666,начинал,3.0416780045351475,3.4659410430839004
212,666666,и,3.4659410430839004,3.540362811791383
